epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89937,1.41797,50.5908,1.41247,0,0,0,0,1.95669,15.1273,1.96252,0.00015003,0.00015003,0.00015003
2,14.5508,2.00428,67.1923,1.90807,0,0,0,0,2.03323,256.117,2.0871,0.000313594,0.000313594,0.000313594
3,21.9929,1.85991,169.194,1.58718,0,0,0,0,2.24904,155.735,2.18561,0.000473858,0.000473858,0.000473858
4,29.3866,2.1727,343.753,1.98738,0,0,0,0,nan,nan,nan,0.000630821,0.000630821,0.000630821
5,36.6572,2.96317,113.674,2.54642,0,0,0,0,nan,nan,nan,0.000784484,0.000784484,0.000784484
6,43.9165,2.91844,24.3554,2.14957,0,0,0,0,nan,nan,nan,0.000934845,0.000934845,0.000934845
7,51.2288,2.86651,16.1774,2.22952,0,0,0,0,nan,nan,nan,0.00108191,0.00108191,0.00108191
8,58.5384,3.25516,8.74519,2.57491,0,0,0,0,nan,nan,nan,0.00122567,0.00122567,0.00122567
9,65.9081,3.38036,6.72648,2.7915,0,0,0,0,nan,nan,nan,0.00136613,0.00136613,0.00136613
10,73.3622,3.19153,5.97641,2.72382,0,0,0,0,nan,nan,nan,0.00150329,0.00150329,0.00150329
11,83.2802,2.45806,5.48425,1.90828,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,94.9178,2.94447,4.70623,2.77329,0,0,0,0,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,103.621,2.21198,4.4631,2.18023,0,0,0,0,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,111.276,3.08768,4.47095,2.80861,0,0,0,0,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,120.636,2.40169,3.97508,2.08568,0,0,0,0,nan,nan,nan,0.00143595,0.00143595,0.00143595
16,128.796,2.70017,4.10258,2.2897,0,0,0,0,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,136.332,2.19152,3.49019,1.93677,0,0,0,0,nan,nan,nan,0.00140295,0.00140295,0.00140295
18,143.815,2.97032,3.60232,3.04158,0,0,0,0,nan,nan,nan,0.00138644,0.00138644,0.00138644
19,154.689,3.20011,5.79751,3.07307,0,0,0,0,nan,nan,nan,0.00136994,0.00136994,0.00136994
20,162.192,2.37331,3.57296,2.34505,0,0,0,0,nan,nan,nan,0.00135344,0.00135344,0.00135344
21,169.54,2.90346,3.97981,2.46376,0,0,0,0,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,176.991,2.57709,2.86418,2.48771,0,0,0,0,nan,nan,nan,0.00132043,0.00132043,0.00132043
23,184.692,2.72518,5.67874,2.53973,0,0,0,0,nan,nan,nan,0.00130393,0.00130393,0.00130393
24,192.425,2.65706,3.4997,2.42565,0,0,0,0,nan,nan,nan,0.00128742,0.00128742,0.00128742
25,205.2,2.53124,3.88029,2.36602,0,0,0,0,0,nan,0,0.00127092,0.00127092,0.00127092
26,212.717,2.84713,3.73231,2.52019,0,0,0,0,1.59751,1.90656,1.14604,0.00125442,0.00125442,0.00125442
27,220.133,2.21556,3.61376,1.98675,0.0005,0.25,0.02263,0.01358,1.1211,2.02443,0.91087,0.00123791,0.00123791,0.00123791
28,227.504,3.09542,4.13179,2.59735,0.53072,0.5,0.04146,0.02372,2.48205,4.60337,2.81473,0.00122141,0.00122141,0.00122141
29,237.765,1.65233,2.69056,1.48395,0.51778,0.5,0.02163,0.00814,2.79121,17.9519,3.24566,0.00120491,0.00120491,0.00120491
30,245.346,2.13729,3.22344,2.21849,0.51197,0.5,0.01893,0.00518,3.68258,3.34539,4.10649,0.0011884,0.0011884,0.0011884
31,252.851,1.93163,2.77086,1.79365,0.00091,0.5,0.02689,0.00664,3.39547,3.23439,3.15399,0.0011719,0.0011719,0.0011719
32,260.462,2.02243,2.41002,1.86458,0.51489,0.5,0.02936,0.01079,3.0927,3.14192,2.80496,0.0011554,0.0011554,0.0011554
33,268.275,2.72409,3.60794,2.42952,0.51602,0.25,0.02975,0.0125,3.03755,3.17406,2.72386,0.00113889,0.00113889,0.00113889
34,276.137,2.17768,2.74983,2.03776,0.53333,0.25,0.05725,0.02494,2.5498,3.01723,2.35383,0.00112239,0.00112239,0.00112239
35,285.268,2.3772,3.40654,2.32046,0.55,0.25,0.05808,0.01923,2.49151,3.07248,2.30314,0.00110589,0.00110589,0.00110589
36,293.4,2.41306,3.06574,2.49364,0.55974,0.25,0.06477,0.02334,2.28786,3.86386,2.23556,0.00108938,0.00108938,0.00108938
37,302,2.42599,3.08489,2.38363,0.61809,0.25,0.15153,0.02805,2.75394,5.1816,2.25809,0.00107288,0.00107288,0.00107288
38,310.341,3.06414,3.82488,2.66867,0.58506,0.25,0.0695,0.02181,2.53359,5.60431,2.2674,0.00105638,0.00105638,0.00105638
39,317.462,2.63611,3.63159,2.22953,0.57569,0.25,0.06125,0.02541,2.31713,4.24374,2.25817,0.00103987,0.00103987,0.00103987
40,325.051,2.82093,3.402,2.55965,0.58371,0.25,0.11028,0.04059,1.93266,3.75379,2.12521,0.00102337,0.00102337,0.00102337
41,332.541,2.12728,2.95771,1.7526,0.00392,0.75,0.04091,0.01586,2.47364,3.71032,2.32317,0.00100687,0.00100687,0.00100687
42,340.044,2.46013,3.14099,2.42607,0.59742,0.25,0.26139,0.03666,2.56981,3.59011,2.31427,0.000990365,0.000990365,0.000990365
43,349.016,1.9955,2.59577,1.71088,0.65155,0.25,0.26312,0.03203,3.00915,3.46546,2.35312,0.000973861,0.000973861,0.000973861
44,356.64,2.31723,2.57276,2.31372,0.61673,0.25,0.26363,0.03226,2.70409,3.66433,2.32603,0.000957358,0.000957358,0.000957358
45,364.343,2.93634,3.32305,2.3762,0.5958,0.25,0.26673,0.07021,2.20371,3.58357,2.24841,0.000940855,0.000940855,0.000940855
46,373.082,2.43605,3.25459,2.13411,0.00505,0.5,0.09495,0.03572,2.16922,3.27456,2.14296,0.000924352,0.000924352,0.000924352
47,380.654,2.70648,2.88416,2.46794,0.0025,0.5,0.0995,0.029,2.08523,3.33267,2.12964,0.000907848,0.000907848,0.000907848
48,388.221,2.06979,2.66499,2.04212,0.53515,0.25,0.06563,0.02412,2.58089,3.55495,2.38566,0.000891345,0.000891345,0.000891345
49,395.461,2.37374,2.83301,2.41239,0.58153,0.25,0.0614,0.03049,2.88166,4.26224,3.52942,0.000874842,0.000874842,0.000874842
50,402.9,1.82309,2.53124,1.65599,0.55635,0.25,0.06436,0.03098,3.04999,4.61659,3.59578,0.000858338,0.000858338,0.000858338
51,410.053,2.09669,2.711,1.88235,0.54897,0.25,0.12544,0.05795,2.89582,3.63903,3.50014,0.000841835,0.000841835,0.000841835
52,417.19,2.64858,2.80447,2.38967,0.51771,0.25,0.25086,0.05365,2.30549,3.41352,2.31274,0.000825332,0.000825332,0.000825332
53,424.407,2.67111,3.02629,2.30008,0.523,0.25,0.13803,0.05253,2.07628,2.87049,2.10736,0.000808828,0.000808828,0.000808828
54,431.855,2.16971,2.59282,2.0199,0.52211,0.25,0.08708,0.03794,1.92905,2.95473,2.12261,0.000792325,0.000792325,0.000792325
55,439.763,2.12597,2.65527,2.08031,0.53127,0.25,0.14903,0.07092,1.76656,2.87273,2.11964,0.000775822,0.000775822,0.000775822
56,448.3,2.818,3.12295,2.61961,0.52366,0.25,0.20186,0.09594,1.71345,2.74432,2.09734,0.000759318,0.000759318,0.000759318
57,456.912,1.99046,2.68422,1.77425,0.52852,0.25,0.21342,0.10168,1.80617,2.65871,2.09765,0.000742815,0.000742815,0.000742815
58,464.907,2.35108,2.89853,2.37242,0.04452,1,0.18963,0.09209,1.86768,2.81604,2.08222,0.000726312,0.000726312,0.000726312
59,472.275,2.17919,2.56142,1.87794,0.05053,1,0.19075,0.09662,1.81376,2.93904,2.07668,0.000709809,0.000709809,0.000709809
60,479.948,2.18784,2.44187,1.81834,0.00917,0.5,0.16221,0.0833,1.92494,3.18642,2.08939,0.000693305,0.000693305,0.000693305
61,487.23,1.82234,2.4898,1.59181,0.01163,0.5,0.1692,0.08909,2.05137,3.19268,2.12388,0.000676802,0.000676802,0.000676802
62,494.555,2.46888,2.53112,2.57849,0.01333,0.5,0.09129,0.03064,2.13301,3.09297,2.1594,0.000660299,0.000660299,0.000660299
63,502.147,2.40291,2.71325,1.96439,0.04538,0.75,0.13073,0.04192,1.96506,2.95549,2.14494,0.000643795,0.000643795,0.000643795
64,509.847,2.73583,3.00244,2.45037,0.04405,1,0.11148,0.05256,1.86307,2.77162,2.09526,0.000627292,0.000627292,0.000627292
65,517.42,1.66661,2.12866,1.61977,0.02935,1,0.11472,0.05208,1.8811,2.72861,2.07483,0.000610789,0.000610789,0.000610789
66,525.027,2.634,2.95923,2.35161,0.01619,1,0.10335,0.04132,1.99981,2.72251,2.07406,0.000594286,0.000594286,0.000594286
67,534.592,2.14917,2.76269,1.86119,0.01447,1,0.08357,0.0403,1.88871,2.72318,2.06308,0.000577782,0.000577782,0.000577782
68,543.855,1.75678,2.37665,1.7098,0.01436,1,0.08454,0.04038,1.94449,2.68018,2.06866,0.000561279,0.000561279,0.000561279
69,552.444,2.3418,2.4146,2.27806,0.01622,1,0.09759,0.04551,1.95094,2.68616,2.08358,0.000544776,0.000544776,0.000544776
70,559.782,2.53354,2.87761,2.24447,0.02473,1,0.25152,0.08428,2.02084,2.67628,2.08562,0.000528272,0.000528272,0.000528272
71,567.567,2.13819,2.32753,1.98287,0.7467,0.2467,0.35608,0.11694,1.9779,2.81325,2.07144,0.000511769,0.000511769,0.000511769
72,575.697,1.95605,2.0049,1.74798,0.79972,0.25,0.44111,0.12158,1.95727,2.80829,2.06276,0.000495266,0.000495266,0.000495266
73,583.732,2.52166,2.69772,2.43929,0.77443,0.25,0.4965,0.13819,1.94973,2.95261,2.04863,0.000478762,0.000478762,0.000478762
74,591.979,2.48323,2.66848,2.14079,0.74758,0.25,0.46923,0.12139,1.86326,2.86816,2.02804,0.000462259,0.000462259,0.000462259
75,600.176,2.45675,2.69673,2.35489,0.53469,0.25,0.51187,0.1189,1.8946,2.90213,2.01123,0.000445756,0.000445756,0.000445756
76,608.404,2.32446,2.99485,2.23492,0.51689,0.25,0.42397,0.11908,1.87559,2.88544,1.99754,0.000429253,0.000429253,0.000429253
77,616.435,2.17699,2.62272,1.89891,0.01469,0.5,0.26883,0.08448,1.7885,2.86053,1.99853,0.000412749,0.000412749,0.000412749
78,624.158,2.37774,3.25582,2.17077,0.02178,1,0.28528,0.10682,1.65268,2.87386,1.95296,0.000396246,0.000396246,0.000396246
79,632.799,2.30955,2.70562,2.03013,0.53659,0.25,0.27353,0.08508,1.72699,2.8033,1.97332,0.000379743,0.000379743,0.000379743
80,640.44,2.78129,2.63664,2.67394,0.56709,0.25,0.30314,0.09972,1.74403,2.77637,1.96119,0.000363239,0.000363239,0.000363239
81,648.774,2.83635,3.1867,2.36851,0.58989,0.25,0.29311,0.08629,1.70995,2.7893,1.94337,0.000346736,0.000346736,0.000346736
82,656.812,2.32815,2.66388,2.06813,0.5624,0.25,0.26265,0.12182,1.76187,2.92067,1.97206,0.000330233,0.000330233,0.000330233
83,664.285,2.08083,2.62813,2.0665,0.55311,0.25,0.26312,0.12099,1.82911,2.99101,2.00104,0.000313729,0.000313729,0.000313729
84,671.931,2.49559,2.53772,2.32886,0.53328,0.25,0.28626,0.12563,1.82392,3.01111,1.99539,0.000297226,0.000297226,0.000297226
85,679.759,2.27946,2.75811,2.14565,0.52882,0.25,0.28626,0.1256,1.77323,2.96217,1.97729,0.000280723,0.000280723,0.000280723
86,688.01,1.7208,2.2039,1.63925,0.52046,0.25,0.28678,0.12907,1.67304,2.896,1.95689,0.00026422,0.00026422,0.00026422
87,695.621,3.02183,3.24419,2.33512,0.51963,0.25,0.29401,0.13318,1.64233,2.85767,1.95704,0.000247716,0.000247716,0.000247716
88,703.208,2.15276,2.38239,1.99264,0.53509,0.25,0.28105,0.10424,1.59749,2.81022,1.9555,0.000231213,0.000231213,0.000231213
89,711.491,2.32527,2.64091,2.28615,0.62276,0.25,0.28384,0.10446,1.59728,2.73815,1.95261,0.00021471,0.00021471,0.00021471
90,719.142,2.62528,2.92252,2.19824,0.78157,0.25,0.27545,0.09707,1.80171,2.6775,1.99046,0.000198206,0.000198206,0.000198206
91,760.569,1.8408,2.40658,1.79807,0.85977,0.25,0.26916,0.0955,1.8575,2.70407,2.01478,0.000181703,0.000181703,0.000181703
92,768.21,1.49671,1.71841,1.47497,0.88603,0.25,0.26881,0.09455,1.91935,2.72002,2.04108,0.0001652,0.0001652,0.0001652
93,776.341,1.9997,2.1575,2.01544,0.90476,0.25,0.26535,0.08223,1.88972,2.77559,2.04102,0.000148696,0.000148696,0.000148696
94,784.364,1.83034,2.2921,1.69409,0.72801,0.25,0.13796,0.06787,1.82528,2.89981,2.03612,0.000132193,0.000132193,0.000132193
95,791.927,2.32899,2.43181,2.1066,0.72835,0.25,0.13703,0.05824,1.77409,2.95579,2.02844,0.00011569,0.00011569,0.00011569
96,799.927,2.09102,2.26979,1.95399,0.73009,0.25,0.13649,0.05964,1.763,2.9869,2.02612,9.91865e-05,9.91865e-05,9.91865e-05
97,807.538,1.75728,2.00175,1.78231,0.73024,0.25,0.13736,0.06003,1.77118,2.98705,2.02766,8.26832e-05,8.26832e-05,8.26832e-05
98,815.079,1.92753,2.45737,1.80041,0.73062,0.25,0.13837,0.05937,1.85032,2.96465,2.02725,6.61799e-05,6.61799e-05,6.61799e-05
99,822.594,1.935,1.9445,1.83835,0.73061,0.25,0.1378,0.05933,1.85557,2.97361,2.02884,4.96766e-05,4.96766e-05,4.96766e-05
100,830.676,1.72643,2.07558,1.82792,0.72966,0.25,0.13772,0.06026,1.85731,2.95848,2.03287,3.31733e-05,3.31733e-05,3.31733e-05
