epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91635,1.47909,40.2582,1.54462,0.00072,0.5,0.00087,0.00031,2.63928,8.88203,2.60372,0.00018337,0.00018337,0.00018337
2,16.324,1.91272,75.4057,1.90342,0.00148,0.125,0.00075,7e-05,3.20343,inf,3.71552,0.000379614,0.000379614,0.000379614
3,24.4044,2.66265,33.5795,2.56461,0,0,0,0,nan,nan,nan,0.000571898,0.000571898,0.000571898
4,32.2614,2.83065,11.0966,2.55935,0,0,0,0,nan,nan,nan,0.00076022,0.00076022,0.00076022
5,40.0166,2.47037,9.50709,2.11307,0,0,0,0,nan,nan,nan,0.000944582,0.000944582,0.000944582
6,47.7651,3.35208,6.37281,2.96218,0,0,0,0,nan,nan,nan,0.00112498,0.00112498,0.00112498
7,55.4821,2.90831,5.86667,2.88916,0,0,0,0,nan,nan,nan,0.00130142,0.00130142,0.00130142
8,63.1661,3.24028,4.82381,3.13318,0,0,0,0,nan,nan,nan,0.0014739,0.0014739,0.0014739
9,70.9663,3.05707,5.22292,3.04408,0,0,0,0,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,78.6187,2.97343,5.16055,2.74998,0,0,0,0,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,86.346,2.98403,4.92988,2.97339,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,94.0769,3.13172,4.33142,2.81559,0,0,0,0,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,101.946,3.38558,4.71311,3.06989,0,0,0,0,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,109.639,2.76021,5.13223,2.81279,0,0,0,0,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,117.46,3.368,4.6,3.36414,0,0,0,0,nan,nan,nan,0.00143595,0.00143595,0.00143595
16,125.189,2.45795,4.20302,2.44986,0,0,0,0,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,132.976,3.29463,4.03263,3.10356,0.50356,0.08333,0.00258,0.00083,nan,nan,nan,0.00140295,0.00140295,0.00140295
18,140.836,3.33217,4.01103,3.3004,0.50917,0.08333,0.00586,0.00229,nan,nan,nan,0.00138644,0.00138644,0.00138644
19,148.803,3.20403,4.40605,3.23212,0.59091,0.16667,0.04796,0.02616,3.22504,78.4439,4.26498,0.00136994,0.00136994,0.00136994
20,156.71,3.12487,3.88324,2.93979,0,0,0,0,nan,nan,nan,0.00135344,0.00135344,0.00135344
21,164.519,2.73447,3.76801,2.64309,0,0,0,0,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,172.27,2.724,3.86476,2.75708,0.5179,0.08333,0.00718,0.00188,nan,nan,nan,0.00132043,0.00132043,0.00132043
23,180.074,2.58845,3.59068,2.53791,0.56052,0.08333,0.05046,0.00983,3.73639,4.07119,4.72331,0.00130393,0.00130393,0.00130393
24,187.777,2.78313,3.51794,2.62546,0.54846,0.16667,0.03399,0.00589,3.83165,5.24716,4.64024,0.00128742,0.00128742,0.00128742
25,195.611,3.01351,4.15626,2.82135,0.55389,0.25,0.12877,0.02794,3.33627,3.48183,3.57867,0.00127092,0.00127092,0.00127092
26,203.774,2.84331,3.47169,2.73525,0.66186,0.16667,0.11066,0.03715,3.37444,4.39169,3.57204,0.00125442,0.00125442,0.00125442
27,211.824,3.17271,3.87598,2.98225,0.74183,0.16667,0.12676,0.04725,3.24999,6.63948,3.66216,0.00123791,0.00123791,0.00123791
28,219.719,2.37597,3.46377,2.38741,0.6256,0.16667,0.17938,0.06918,3.17358,4.52813,3.57527,0.00122141,0.00122141,0.00122141
29,227.702,2.34344,3.2475,2.4593,0.00187,0.41667,0.10605,0.04738,3.2175,3.21216,3.58317,0.00120491,0.00120491,0.00120491
30,235.449,2.83468,3.73636,2.81329,0.64267,0.25,0.13553,0.0276,3.33483,3.10031,3.61827,0.0011884,0.0011884,0.0011884
31,243.15,2.42888,3.57769,2.38098,0.72882,0.25,0.13661,0.04205,2.88232,3.72594,3.27293,0.0011719,0.0011719,0.0011719
32,250.889,2.53956,3.05566,2.34432,0.64665,0.25,0.12528,0.04266,2.95378,3.17133,3.26852,0.0011554,0.0011554,0.0011554
33,258.804,2.45636,3.24971,2.52694,0.56037,0.16667,0.08069,0.02973,3.1199,3.63422,3.36553,0.00113889,0.00113889,0.00113889
34,266.555,2.79002,3.71159,2.61551,0.61222,0.16667,0.08623,0.02162,3.23632,4.27253,3.43445,0.00112239,0.00112239,0.00112239
35,274.405,2.4616,3.263,2.48886,0.61118,0.23906,0.09145,0.03725,2.92755,3.91477,3.29232,0.00110589,0.00110589,0.00110589
36,282.113,2.26863,3.39103,2.45204,0.67687,0.16667,0.12401,0.03723,2.85476,4.1106,3.20619,0.00108938,0.00108938,0.00108938
37,289.907,2.87455,3.62106,2.84188,0.6475,0.25,0.11399,0.0255,3.18192,4.63935,3.19209,0.00107288,0.00107288,0.00107288
38,298.02,2.8702,3.99283,2.96624,0.68403,0.25,0.12139,0.03438,2.94355,4.19138,3.20693,0.00105638,0.00105638,0.00105638
39,305.848,2.21955,3.5677,2.33789,0.60565,0.25,0.07527,0.03155,3.22872,3.23486,3.3284,0.00103987,0.00103987,0.00103987
40,313.632,2.33897,3.38274,2.40651,0.58864,0.16667,0.09,0.03901,3.57619,3.3707,3.55198,0.00102337,0.00102337,0.00102337
41,321.407,2.80331,3.59301,3.00961,0.64445,0.16667,0.19544,0.10304,3.48586,3.0798,3.71186,0.00100687,0.00100687,0.00100687
42,329.302,2.43097,3.41717,2.56534,0.57151,0.25,0.19431,0.06491,3.61125,3.11769,3.75662,0.000990365,0.000990365,0.000990365
43,337.067,2.52625,3.36526,2.6434,0.63676,0.19018,0.21577,0.08549,3.65058,3.08249,3.70931,0.000973861,0.000973861,0.000973861
44,344.81,2.86116,3.45976,2.89363,0.68943,0.16667,0.20411,0.10631,3.44395,3.14272,3.63356,0.000957358,0.000957358,0.000957358
45,353.281,2.77694,3.41531,2.76578,0.84995,0.16667,0.19961,0.08385,3.02496,3.04133,3.48582,0.000940855,0.000940855,0.000940855
46,361.175,2.69749,3.46692,2.76851,0.81286,0.16667,0.19905,0.06607,2.78185,2.95711,3.39664,0.000924352,0.000924352,0.000924352
47,369.115,2.76621,3.09891,2.91653,0.91753,0.16667,0.20313,0.05263,2.79365,3.24529,3.40055,0.000907848,0.000907848,0.000907848
48,377.024,2.18244,3.35533,2.17325,0.91129,0.16667,0.21474,0.05435,3.02852,3.47993,3.47883,0.000891345,0.000891345,0.000891345
49,384.951,2.16335,3.12041,2.25219,0.69516,0.16667,0.20418,0.0535,3.19047,3.0554,3.54398,0.000874842,0.000874842,0.000874842
50,392.862,2.51967,2.94572,2.54819,0.68966,0.16667,0.20012,0.05117,3.25925,3.0594,3.64371,0.000858338,0.000858338,0.000858338
51,403.641,2.38768,3.44793,2.54921,0.69467,0.16667,0.20923,0.07197,3.30283,3.32277,3.58922,0.000841835,0.000841835,0.000841835
52,411.74,2.5227,3.21546,2.62695,0.69364,0.16667,0.22258,0.07216,3.33027,3.34445,3.49547,0.000825332,0.000825332,0.000825332
53,419.72,2.44204,3.33087,2.54069,0.69021,0.16667,0.23072,0.11458,3.38481,3.17911,3.46959,0.000808828,0.000808828,0.000808828
54,428.41,2.06991,2.78277,2.22821,0.67391,0.16667,0.2533,0.11048,3.28675,2.9681,3.46633,0.000792325,0.000792325,0.000792325
55,436.364,2.1857,2.93655,2.54898,0.69791,0.33333,0.25381,0.13677,3.22632,3.14635,3.45687,0.000775822,0.000775822,0.000775822
56,444.563,2.23211,2.89514,2.64595,0.76342,0.16667,0.22381,0.11735,3.20047,3.28823,3.43607,0.000759318,0.000759318,0.000759318
57,452.496,2.32925,3.1056,2.4235,0.82963,0.16667,0.24421,0.07148,3.15563,3.30423,3.42968,0.000742815,0.000742815,0.000742815
58,460.395,2.63204,3.01092,2.78256,0.77838,0.16667,0.24486,0.07135,3.1291,3.03078,3.41828,0.000726312,0.000726312,0.000726312
59,468.413,2.1214,2.98965,2.16992,0.72447,0.16667,0.23509,0.11811,2.98038,2.76425,3.35671,0.000709809,0.000709809,0.000709809
60,476.288,2.22344,3.10762,2.44413,0.78863,0.16667,0.23642,0.12738,3.06388,2.79828,3.36945,0.000693305,0.000693305,0.000693305
61,484.19,2.52816,3.02318,2.66735,0.72886,0.21477,0.23054,0.09787,3.02906,2.83723,3.33989,0.000676802,0.000676802,0.000676802
62,492.13,2.23348,2.90625,2.47752,0.71281,0.16667,0.2186,0.1003,2.90134,2.59156,3.2783,0.000660299,0.000660299,0.000660299
63,500.081,2.39219,3.02608,2.64567,0.8522,0.16667,0.21947,0.09726,2.83509,2.61187,3.22319,0.000643795,0.000643795,0.000643795
64,508.008,2.80195,3.18074,2.86772,0.88666,0.16667,0.22053,0.10513,2.79118,2.7037,3.20352,0.000627292,0.000627292,0.000627292
65,515.986,2.01155,3.10157,1.97265,0.85732,0.16667,0.22474,0.12389,2.81961,2.81413,3.24221,0.000610789,0.000610789,0.000610789
66,523.896,1.71883,2.8071,1.87108,0.85012,0.16667,0.22353,0.12105,2.77291,2.71259,3.19986,0.000594286,0.000594286,0.000594286
67,531.869,2.52316,3.37899,2.66847,0.85318,0.16667,0.22587,0.13521,2.84967,2.57257,3.1449,0.000577782,0.000577782,0.000577782
68,539.734,2.29111,3.17231,2.71932,0.9019,0.16667,0.22967,0.12519,2.84122,2.5338,3.12571,0.000561279,0.000561279,0.000561279
69,547.636,1.87229,3.0712,2.00848,0.8901,0.16667,0.22193,0.11888,2.74362,2.72543,3.12321,0.000544776,0.000544776,0.000544776
70,555.582,2.36089,2.9612,2.7492,0.8608,0.16667,0.23671,0.12333,2.86619,2.91276,3.1739,0.000528272,0.000528272,0.000528272
71,563.49,2.15589,2.82579,2.4051,0.96308,0.16667,0.24678,0.14657,2.75564,2.80821,3.07311,0.000511769,0.000511769,0.000511769
72,571.692,2.18911,2.90923,2.52687,0.85624,0.16667,0.2466,0.14729,2.72442,2.89199,3.05136,0.000495266,0.000495266,0.000495266
73,579.927,2.10268,2.68091,2.4386,0.94526,0.16667,0.23393,0.12646,2.79047,2.91448,3.2339,0.000478762,0.000478762,0.000478762
74,587.801,2.37015,2.98721,2.51752,0.9545,0.16667,0.23215,0.12705,2.94666,2.9438,3.29248,0.000462259,0.000462259,0.000462259
75,595.694,2.21828,2.82013,2.40816,0.96853,0.16667,0.2273,0.14411,2.89189,2.88308,3.24093,0.000445756,0.000445756,0.000445756
76,603.556,1.80364,3.4921,1.86148,0.96724,0.16667,0.23403,0.15187,2.79054,2.90817,3.18646,0.000429253,0.000429253,0.000429253
77,611.813,1.97582,2.71926,2.27938,0.84836,0.16667,0.23325,0.15321,2.66568,2.96879,3.08151,0.000412749,0.000412749,0.000412749
78,621.752,2.18119,2.74329,2.50458,0.89308,0.16667,0.23394,0.15069,2.68094,2.8495,3.06171,0.000396246,0.000396246,0.000396246
79,630.585,2.3393,2.72989,2.50922,0.86193,0.16667,0.22613,0.14849,2.7398,2.72931,3.15576,0.000379743,0.000379743,0.000379743
80,639.506,2.4383,2.97157,2.61609,0.68896,0.25,0.22867,0.14836,2.71617,2.66546,3.12777,0.000363239,0.000363239,0.000363239
