epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1957,1.84988,12.4174,2.10017,0.07354,0.09091,0.05405,0.02079,2.05647,45.5855,2.36304,0.00025005,0.00025005,0.00025005
2,23.5166,2.48612,10.8062,2.50475,0,0,0,0,nan,nan,nan,0.000506538,0.000506538,0.000506538
3,34.7556,2.82046,5.54763,2.87625,0,0,0,0,nan,nan,nan,0.000752464,0.000752464,0.000752464
4,45.7684,2.9036,4.52008,2.86275,0,0,0,0,nan,nan,nan,0.000987828,0.000987828,0.000987828
5,56.5686,3.02204,4.47338,3.03226,0,0,0,0,nan,nan,nan,0.00121263,0.00121263,0.00121263
6,67.2475,2.82422,3.95644,2.97508,0,0,0,0,nan,nan,nan,0.00142687,0.00142687,0.00142687
7,78.2228,2.81327,4.56305,3.05356,0,0,0,0,nan,nan,nan,0.00146896,0.00146896,0.00146896
8,88.954,3.00365,4.38876,3.07028,0,0,0,0,nan,nan,nan,0.00143595,0.00143595,0.00143595
9,99.7624,2.94109,3.98371,3.10275,0,0,0,0,nan,nan,nan,0.00140295,0.00140295,0.00140295
10,110.501,2.97064,4.10538,3.27039,0,0,0,0,nan,nan,nan,0.00136994,0.00136994,0.00136994
11,120.976,2.7833,3.82776,2.98705,0,0,0,0,1.61243,1.86035,77.7466,0.00133693,0.00133693,0.00133693
12,131.6,2.9706,4.02134,3.09489,7e-05,0.04545,3e-05,2e-05,5.1095,inf,83.6217,0.00130393,0.00130393,0.00130393
13,142.134,2.83612,3.61049,3.00616,0.50013,0.04545,6e-05,1e-05,3.29176,19.8174,5.31192,0.00127092,0.00127092,0.00127092
14,152.592,2.81374,3.49585,2.92224,8e-05,0.04545,5e-05,0,3.10488,8.5822,5.27481,0.00123791,0.00123791,0.00123791
15,162.955,2.54143,3.51014,2.79587,0.10327,0.04167,0.01377,0.00209,3.01046,16.663,5.20301,0.00120491,0.00120491,0.00120491
16,173.321,2.70729,3.68155,2.87506,0.53765,0.08333,0.02215,0.00478,2.93328,7.62972,4.5525,0.0011719,0.0011719,0.0011719
17,183.641,2.63093,3.48693,2.78672,0.52458,0.16667,0.02312,0.00637,2.58331,4.06501,3.34034,0.00113889,0.00113889,0.00113889
18,194.073,2.58774,3.31684,2.73642,0.00291,0.7803,0.067,0.01684,2.62882,3.5122,2.8243,0.00110589,0.00110589,0.00110589
19,204.512,2.5154,3.30656,2.73149,0.00276,0.66667,0.03884,0.00928,2.78669,3.82909,2.89822,0.00107288,0.00107288,0.00107288
20,214.897,2.51302,3.39402,2.92416,0.65513,0.12879,0.20748,0.04838,2.59325,3.59203,3.06598,0.00103987,0.00103987,0.00103987
21,225.475,2.40882,3.53061,2.68854,0.00329,0.65152,0.11635,0.02788,2.5758,3.52924,3.2388,0.00100687,0.00100687,0.00100687
22,235.98,2.32517,3.38673,2.67084,0.57517,0.08333,0.16276,0.05531,2.53459,3.13575,3.39051,0.000973861,0.000973861,0.000973861
23,246.577,2.56806,3.47103,2.79375,0.62576,0.20833,0.18592,0.04576,2.53214,3.11596,3.41136,0.000940855,0.000940855,0.000940855
24,257.066,2.50138,3.61434,2.95081,0.54075,0.20833,0.12447,0.04825,2.27602,3.18625,3.05087,0.000907848,0.000907848,0.000907848
25,267.53,2.43352,3.17663,2.75513,0.71562,0.08333,0.17771,0.04849,2.30526,3.25661,2.82358,0.000874842,0.000874842,0.000874842
26,278.028,2.43667,3.42716,2.82328,0.03258,0.125,0.09501,0.03447,2.30568,3.23214,2.78094,0.000841835,0.000841835,0.000841835
27,288.478,2.25323,3.22578,2.69943,0.06764,0.61364,0.1479,0.0498,2.1919,2.99305,2.66206,0.000808828,0.000808828,0.000808828
28,298.961,2.34956,3.20729,2.7615,0.69795,0.20833,0.16683,0.0535,2.12927,2.87373,2.66973,0.000775822,0.000775822,0.000775822
29,309.354,2.13931,3.56148,2.50335,0.06823,0.51515,0.15796,0.04911,2.11217,2.91043,2.65006,0.000742815,0.000742815,0.000742815
30,319.873,2.32558,3.18701,2.75054,0.03194,0.33333,0.11013,0.03558,2.15134,3.09508,2.73435,0.000709809,0.000709809,0.000709809
31,330.261,2.46083,3.55608,2.7929,0.00565,0.83333,0.066,0.01819,2.26574,3.25343,2.80397,0.000676802,0.000676802,0.000676802
32,340.757,2.22504,3.24249,2.64606,0.5557,0.04167,0.05739,0.02433,2.0704,3.04004,2.68004,0.000643795,0.000643795,0.000643795
33,351.159,2.31728,3.05523,2.71497,0.57238,0.08333,0.08044,0.0318,1.99709,2.8089,2.69203,0.000610789,0.000610789,0.000610789
34,361.678,2.28653,3.10111,2.74935,0.58376,0.20833,0.10679,0.05022,2.02178,2.95429,2.6544,0.000577782,0.000577782,0.000577782
35,372.1,2.0332,2.94045,2.55157,0.66734,0.20833,0.12377,0.05677,1.99904,2.965,2.62144,0.000544776,0.000544776,0.000544776
36,382.786,2.31665,3.02171,2.64055,0.67031,0.16667,0.18914,0.08364,2.09315,2.73027,2.66205,0.000511769,0.000511769,0.000511769
37,393.423,2.07796,2.94831,2.53906,0.64424,0.16667,0.1846,0.08015,2.12487,2.71908,2.69862,0.000478762,0.000478762,0.000478762
38,403.9,2.13933,3.08974,2.54111,0.67354,0.16667,0.20022,0.08279,2.06331,2.60667,2.64263,0.000445756,0.000445756,0.000445756
39,414.373,2.33984,3.14133,2.76893,0.73924,0.20833,0.2642,0.11357,2.07444,2.60436,2.62728,0.000412749,0.000412749,0.000412749
40,424.969,2.36421,3.17172,2.68244,0.69983,0.16667,0.28077,0.13092,2.15117,2.66666,2.6575,0.000379743,0.000379743,0.000379743
41,459.312,2.00617,3.12955,2.60362,0.73931,0.15419,0.24115,0.1049,2.13214,2.61379,2.64126,0.000346736,0.000346736,0.000346736
42,469.581,2.06533,2.89155,2.58965,0.72441,0.125,0.23108,0.10896,2.10093,2.58071,2.58641,0.000313729,0.000313729,0.000313729
43,479.83,1.91542,3.1437,2.34927,0.756,0.16667,0.23972,0.1223,2.09644,2.59167,2.5855,0.000280723,0.000280723,0.000280723
44,490.162,1.9561,3.14469,2.35221,0.07376,0.75797,0.25056,0.12164,2.02174,2.69969,2.54416,0.000247716,0.000247716,0.000247716
45,500.44,2.10253,3.21501,2.62661,0.01027,0.95833,0.25057,0.10671,2.04649,2.84194,2.58122,0.00021471,0.00021471,0.00021471
46,510.945,2.14342,3.41537,2.48494,0.01109,0.95833,0.24996,0.10717,2.11018,2.85062,2.65398,0.000181703,0.000181703,0.000181703
47,521.385,2.11863,2.94777,2.5942,0.17257,0.43561,0.25908,0.11668,2.12486,2.75945,2.62231,0.000148696,0.000148696,0.000148696
48,531.947,1.92081,3.10107,2.27088,0.65006,0.16667,0.244,0.11887,2.12718,2.63371,2.6424,0.00011569,0.00011569,0.00011569
49,542.428,1.93186,2.84362,2.48997,0.73348,0.16667,0.25658,0.12081,2.10233,2.59437,2.61432,8.26832e-05,8.26832e-05,8.26832e-05
50,552.973,1.91299,2.73825,2.39394,0.78083,0.16667,0.262,0.11506,2.06032,2.56941,2.58245,4.96766e-05,4.96766e-05,4.96766e-05
