epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8062,1.95965,5.59278,2.99271,0.44578,0.45556,0.51006,0.19605,1.36507,4.06095,2.58668,0.00025005,0.00025005,0.00025005
2,22.991,1.30709,5.07893,2.33686,0.07812,0.45556,0.09502,0.03295,1.34962,379.066,2.44835,0.000511654,0.000511654,0.000511654
3,39.5727,1.24934,2.91658,2.38577,0.09244,0.82933,0.15249,0.05962,1.29518,286.969,2.80335,0.000767977,0.000767977,0.000767977
4,55.2338,1.38214,2.73287,2.50247,0.58746,0.69631,0.65567,0.34842,1.63562,3.03307,3.00937,0.00101902,0.00101902,0.00101902
5,70.4961,1.44686,2.57324,2.5843,0.33116,0.53889,0.32237,0.15256,1.58003,12.7594,2.96614,0.00126478,0.00126478,0.00126478
6,83.0491,1.47201,2.08035,2.63034,0.07169,0.67778,0.06422,0.02165,1.5754,inf,3.02044,0.00150526,0.00150526,0.00150526
7,94.8246,1.57427,2.67138,2.81015,0.10092,0.5463,0.06799,0.02681,1.91672,inf,3.30236,0.00156798,0.00156798,0.00156798
8,106.368,1.57024,2.42037,2.82494,0.16054,0.53333,0.18023,0.10044,1.80557,31.3696,3.26497,0.00155148,0.00155148,0.00155148
9,118.041,1.52507,2.0165,2.75729,0.37116,0.69444,0.4052,0.25776,1.68705,4.05788,3.07863,0.00153497,0.00153497,0.00153497
10,128.741,1.69166,1.95406,2.66854,0.53512,0.58333,0.48839,0.27623,1.82248,3.91044,3.50952,0.00151847,0.00151847,0.00151847
11,139.423,1.5472,1.68339,2.65829,0.60229,0.77576,0.64652,0.37297,1.66831,3.91513,3.42809,0.00150197,0.00150197,0.00150197
12,151.114,1.56663,1.77737,2.88622,0.6026,0.63889,0.63446,0.37248,1.83061,3.24568,3.65262,0.00148546,0.00148546,0.00148546
13,165.207,1.5012,1.47334,2.8789,0.84509,0.38333,0.51435,0.31741,2.16856,2.25691,3.33321,0.00146896,0.00146896,0.00146896
14,183.384,1.60397,1.63887,2.72385,0.44192,0.55962,0.58712,0.34443,2.12847,1.97514,3.60883,0.00145246,0.00145246,0.00145246
15,200.168,1.51282,1.73268,2.77279,0.65601,0.93301,0.78524,0.43398,1.69483,3.04395,3.19501,0.00143595,0.00143595,0.00143595
16,213.643,1.54342,1.51425,2.73462,0.58997,0.78599,0.69262,0.38202,1.98974,3.0638,3.84003,0.00141945,0.00141945,0.00141945
17,229.454,1.44835,1.42237,2.57068,0.76031,0.68333,0.69414,0.41468,1.90201,1.91759,3.71431,0.00140295,0.00140295,0.00140295
18,241.631,1.40602,1.26893,2.57735,0.68039,0.73672,0.78891,0.45685,2.03411,2.76471,4.01291,0.00138644,0.00138644,0.00138644
19,252.607,1.39517,1.25391,2.57616,0.95024,0.52907,0.65921,0.43304,1.86709,1.82855,3.49117,0.00136994,0.00136994,0.00136994
20,263.291,1.3768,1.1951,2.52818,0.61537,0.73889,0.70418,0.41102,1.61688,2.33894,3.09577,0.00135344,0.00135344,0.00135344
21,274.081,1.25104,1.28136,2.37791,0.81558,0.69278,0.75484,0.46689,1.52343,1.47188,2.7891,0.00133693,0.00133693,0.00133693
22,287.262,1.41773,1.37363,2.60281,0.81001,0.68372,0.73472,0.49386,1.45551,1.87735,2.80202,0.00132043,0.00132043,0.00132043
23,305.029,1.40617,1.49758,2.65786,0.5832,0.74444,0.63875,0.42494,1.66482,1.63414,3.17365,0.00130393,0.00130393,0.00130393
24,315.728,1.26224,1.20636,2.41914,0.74438,0.79444,0.77513,0.50628,1.53148,1.37675,2.995,0.00128742,0.00128742,0.00128742
25,326.595,1.27869,1.08271,2.40562,0.7579,0.85,0.85311,0.49905,1.56603,1.21797,2.87532,0.00127092,0.00127092,0.00127092
26,337.215,1.40162,1.22445,2.58281,0.74722,0.80981,0.76927,0.4252,1.64121,1.19747,3.07404,0.00125442,0.00125442,0.00125442
27,347.819,1.488,1.22769,2.59122,0.76556,0.88516,0.83417,0.46919,1.57779,1.16395,3.01398,0.00123791,0.00123791,0.00123791
28,358.572,1.39321,1.27407,2.63316,0.93663,0.84352,0.92957,0.5898,1.43159,1.04401,2.91323,0.00122141,0.00122141,0.00122141
29,369.676,1.47788,1.42033,2.7938,0.79249,0.8,0.8169,0.4876,1.51166,1.25048,2.85496,0.00120491,0.00120491,0.00120491
30,380.554,1.3958,1.09861,2.59277,0.54814,0.76526,0.67295,0.44747,1.47256,1.19137,2.70499,0.0011884,0.0011884,0.0011884
31,391.367,1.37026,1.17204,2.64619,0.49865,0.75591,0.69012,0.46274,1.58074,1.46934,2.75906,0.0011719,0.0011719,0.0011719
32,402.154,1.28412,1.12214,2.45633,0.71215,0.77261,0.80446,0.56118,1.35856,1.27746,2.54058,0.0011554,0.0011554,0.0011554
33,412.837,1.16614,1.02657,2.31605,0.95436,0.79958,0.94331,0.61324,1.3489,1.00075,2.59805,0.00113889,0.00113889,0.00113889
34,423.67,1.29986,1.01584,2.60813,0.70529,0.98176,0.92373,0.60504,1.44806,1.03521,2.72135,0.00112239,0.00112239,0.00112239
35,434.33,1.19826,1.01614,2.37226,0.84245,0.78623,0.87561,0.59256,1.51295,1.50622,2.87819,0.00110589,0.00110589,0.00110589
36,445.038,1.29262,1.10578,2.52577,0.75047,0.86463,0.87529,0.57473,1.57581,1.1447,2.84208,0.00108938,0.00108938,0.00108938
37,455.712,1.14349,0.97966,2.37386,0.89856,0.89444,0.89376,0.61357,1.36304,1.08127,2.7087,0.00107288,0.00107288,0.00107288
38,466.567,1.22754,0.96648,2.46924,0.86315,0.89444,0.86813,0.57699,1.37666,1.38105,2.83208,0.00105638,0.00105638,0.00105638
39,477.267,1.22634,0.96992,2.46649,0.62781,0.86345,0.78278,0.52433,1.32107,1.95268,2.82586,0.00103987,0.00103987,0.00103987
40,487.932,1.45369,1.16005,2.87576,0.74795,0.89444,0.7861,0.48629,1.31682,2.09364,2.74682,0.00102337,0.00102337,0.00102337
41,498.618,1.20243,0.96641,2.43382,0.8103,0.92111,0.83986,0.51648,1.20557,1.30878,2.60277,0.00100687,0.00100687,0.00100687
42,509.346,1.18804,0.95949,2.39838,0.81328,0.82057,0.84087,0.59316,1.22663,1.19518,2.63258,0.000990365,0.000990365,0.000990365
43,520.025,1.13217,0.92665,2.2942,0.94123,0.84444,0.93875,0.64732,1.35849,1.06004,2.69544,0.000973861,0.000973861,0.000973861
44,530.901,1.23299,1.02942,2.48254,0.98188,0.84444,0.94101,0.62245,1.34749,1.03199,2.65233,0.000957358,0.000957358,0.000957358
45,541.687,1.22963,0.99289,2.50897,0.86423,0.92347,0.91938,0.64216,1.32387,1.01331,2.59286,0.000940855,0.000940855,0.000940855
46,552.323,1.21591,1.06564,2.42474,0.75484,0.94694,0.86988,0.62334,1.23519,0.99067,2.57401,0.000924352,0.000924352,0.000924352
47,563.023,1.10622,0.88438,2.31049,0.87477,0.75,0.82562,0.55775,1.28816,1.09632,2.68984,0.000907848,0.000907848,0.000907848
48,573.746,1.35264,1.23479,2.61923,0.75369,0.9,0.85313,0.59171,1.23283,1.19537,2.65991,0.000891345,0.000891345,0.000891345
49,584.389,1.19704,1.03052,2.59329,0.93863,0.89435,0.95728,0.6515,1.3022,1.15118,2.67786,0.000874842,0.000874842,0.000874842
50,595.25,1.11758,0.95995,2.22618,0.9703,0.87745,0.97571,0.68151,1.32052,0.98852,2.61968,0.000858338,0.000858338,0.000858338
51,606.091,1.17387,1.00053,2.51749,0.93348,0.9,0.96167,0.69779,1.24577,0.94983,2.56521,0.000841835,0.000841835,0.000841835
52,616.915,1.14602,1.0512,2.3603,0.95632,0.9,0.94528,0.67965,1.24459,0.96309,2.53333,0.000825332,0.000825332,0.000825332
